"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 28 13:24:13 UTC 2025","Sun Dec 28 13:24:13 UTC 2025","0","","test_allure","TestAllurePageOne","","","***** - @allure.title - Название отчета 1/1","@allure.description - Добавляет описание (Description) к тесту"
"passed","Sun Dec 28 13:24:17 UTC 2025","Sun Dec 28 13:24:17 UTC 2025","1","","test_allure","","","","Тест #TC-3739","
    Автоматически сгенерированный тест.
    Приоритет: HIGH
    ID тест-кейса: TC-3739-6
    "
"passed","Sun Dec 28 13:24:17 UTC 2025","Sun Dec 28 13:24:17 UTC 2025","0","","test_allure","","","","Тест #TC-4418","
    Автоматически сгенерированный тест.
    Приоритет: MEDIUM
    ID тест-кейса: TC-4418-5
    "
"passed","Sun Dec 28 13:24:17 UTC 2025","Sun Dec 28 13:24:17 UTC 2025","0","","test_allure","","","","Тест #TC-2413","
    Автоматически сгенерированный тест.
    Приоритет: LOW
    ID тест-кейса: TC-2413-1
    "
"broken","Sun Dec 28 13:24:16 UTC 2025","Sun Dec 28 13:24:16 UTC 2025","0","","test_allure","TestAllurePageOne","","","***** - @allure.title - Название отчета 1/2",""
"broken","Sun Dec 28 13:24:16 UTC 2025","Sun Dec 28 13:24:16 UTC 2025","0","===== - @allure.parent_suite - вкладка Suites/Люксы (Группа тестов (suite)) -> Самый верх","===== - @allure.suite - вкладка Suites/Люксы","===== - @allure.sub_suite - вкладка Suites/Люксы","","","test_allure_two_two",""
"passed","Sun Dec 28 13:24:17 UTC 2025","Sun Dec 28 13:24:17 UTC 2025","0","","test_allure","","","","Тест #TC-3720","
    Автоматически сгенерированный тест.
    Приоритет: LOW
    ID тест-кейса: TC-3720-3
    "
"broken","Sun Dec 28 13:24:16 UTC 2025","Sun Dec 28 13:24:16 UTC 2025","0","===== - @allure.parent_suite - вкладка Suites/Люксы (Группа тестов (suite)) -> Самый верх","===== - @allure.suite - вкладка Suites/Люксы","===== - @allure.sub_suite - вкладка Suites/Люксы","","","test_allure_two_one",""
"passed","Sun Dec 28 13:24:17 UTC 2025","Sun Dec 28 13:24:17 UTC 2025","0","","test_allure","","","","Тест #TC-4144","
    Автоматически сгенерированный тест.
    Приоритет: LOW
    ID тест-кейса: TC-4144-2
    "
"passed","Sun Dec 28 13:24:17 UTC 2025","Sun Dec 28 13:24:17 UTC 2025","0","","test_allure","","","","Тест #TC-9993","
    Автоматически сгенерированный тест.
    Приоритет: LOW
    ID тест-кейса: TC-9993-4
    "
